51.09285,16.97814;Wroc³aw
50.76766,16.27867;Wa³brzych
50.9121,15.745;Jelenia Góra
51.2098,16.1955;Legnica
50.6949,17.8736;Opole
51.83171,16.5335;Leszno
52.3904,16.9923;Poznañ
51.93942,15.48273;Zielona Góra
52.7357,15.2058;Gorzów Wlkp
52.26536,18.27852;Konin
51.7457,19.5226;£ódŸ
50.263,19.0587;Katowice
50.0811,20.0659;Kraków
50.7906,19.1771;Czêstochowa
51.20998,22.57195;Lublin
52.19003,20.93923;Warszawa
53.1092,23.203;Bia³ystok
53.77,20.5159;Olsztyn
52.5708,19.6860;P³ock
53.0905,18.0551;Bydgoszcz
53.0369,18.6755;Toruñ
53.45918,14.57278;Szczecin
54.17343,15.54020;Ko³obrzeg
54.1939,16.1517;Koszalin
54.35544,18.59427;Gdañsk
54.5524,18.4465;Gdynia
53.4745,18.7747;Grudzi¹dz
50.0263,21.9750;Rzeszów
50.87520,20.64932;Kielce
50.2923,18.6872;Gliwice